level_0,index,year,state,state_po,office,candidate,party,candidatevotes,totalvotes,democratvotes,republicanvotes,last_name,first_name,suffix,nickname,bioguide_id
37,37,1976,PENNSYLVANIA,PA,US HOUSE,"SHUSTER, E. G. (Bud)",REPUBLICAN,154359,154359,144890.0,154359.0,SHUSTER,E.,,,S000394
38,38,1976,RHODE ISLAND,RI,US HOUSE,"BEARD, Edward Peter",DEMOCRAT,154453,201912,154453.0,68080.0,BEARD,EDWARD,,,B000279
39,39,1976,SOUTH CAROLINA,SC,US HOUSE,"DERRICK, Butler Carson, Jr.",DEMOCRAT,117740,117855,117740.0,83426.0,DERRICK,BUTLER,JR,,D000267
40,40,1976,SOUTH DAKOTA,SD,US HOUSE,"PRESSLER, Larry Lee",REPUBLICAN,121587,152402,42968.0,121587.0,PRESSLER,LARRY,,,P000513
41,41,1976,TENNESSEE,TN,US HOUSE,"ALLEN, Clifford Robertson",DEMOCRAT,125830,136151,125830.0,117256.0,ALLEN,CLIFFORD,,,A000118
42,42,1976,TEXAS,TX,US HOUSE,"ARCHER, William Reynolds, Jr.",REPUBLICAN,193127,193127,160683.0,193127.0,ARCHER,WILLIAM,JR,,A000215
43,43,1976,UTAH,UT,US HOUSE,"McKAY, Koln Gunn",DEMOCRAT,155631,267531,155631.0,144861.0,MCKAY,KOLN,,,M000490
44,44,1976,VIRGINIA,VA,US HOUSE,"SATTERFIELD, David Edward, III",DEMOCRAT,129066,146788,129066.0,115508.0,SATTERFIELD,DAVID,III,,S000070
45,45,1976,VERMONT,VT,US HOUSE,"JEFFORDS, James Merrill",REPUBLICAN,124458,184783,60202.0,124458.0,JEFFORDS,JAMES,,,J000072
46,46,1976,WASHINGTON,WA,US HOUSE,"PRITCHARD, Joel McFee",REPUBLICAN,161354,224561,145198.0,161354.0,PRITCHARD,JOEL,,,P000546
47,47,1976,WISCONSIN,WI,US HOUSE,"ZABLOCKI, Clement John",DEMOCRAT,172166,172243,172166.0,163791.0,ZABLOCKI,CLEMENT,,,Z000001
48,48,1976,WEST VIRGINIA,WV,US HOUSE,"STAGGERS, Harley Orrin",DEMOCRAT,145405,197635,145405.0,78134.0,STAGGERS,HARLEY,,,S000778
49,49,1976,WYOMING,WY,US HOUSE,"RONCALIO, Teno",DEMOCRAT,85721,151868,85721.0,66147.0,RONCALIO,TENO,,,R000421
