index,cand_number,state,office,district,candidatevotes,election_month,election_type,icpsr_party_code,candidate,election_year
0,               1,Connecticut,Governor,                0,                419404,11: November,General,DEMOCRAT,"BOWLES, CHESTER",1950.0
1,               2,Connecticut,Governor,                0,                436418,11: November,General,MODERN REPUBLICAN,"LODGE, JOHN D",1950.0
2,               3,Connecticut,Governor,                0,                 22913,11: November,General,SOCIALIST,"MCLEVY,",1950.0
3,               1,Connecticut,US Rep.,                1,                134258,11: November,General,DEMOCRAT,"RIBICOFF, ABRAHAM A",1950.0
4,               2,Connecticut,US Rep.,                1,                 96251,11: November,General,MODERN REPUBLICAN,"SCHWOLSKY, HARRY",1950.0
5,               3,Connecticut,US Rep.,                1,                   587,11: November,General,PEOPLE'S,"COHEN,",1950.0
6,               1,Connecticut,US Rep.,                2,                 66523,11: November,General,DEMOCRAT,"WOODHOUSE, CHASE GOING",1950.0
7,               2,Connecticut,US Rep.,                2,                 68747,11: November,General,MODERN REPUBLICAN,"FOOTE, ELLSWORTH B",1950.0
8,               1,Connecticut,US Rep.,                3,                 89391,11: November,General,DEMOCRAT,"CARROLL, DENNIS M",1950.0
9,               2,Connecticut,US Rep.,                3,                 82304,11: November,General,MODERN REPUBLICAN,"FOOTE,",1950.0
10,               3,Connecticut,US Rep.,                3,                   478,11: November,General,PEOPLE'S,"MARSALKA,",1950.0
11,               1,Connecticut,US Rep.,                4,                 88682,11: November,General,DEMOCRAT,"LYNCH, J GREGORY",1950.0
12,               2,Connecticut,US Rep.,                4,                111939,11: November,General,MODERN REPUBLICAN,"MORANO, ALBERT P",1950.0
13,               3,Connecticut,US Rep.,                4,                 10255,11: November,General,SOCIALIST,"NICHOLS,",1950.0
14,               1,Connecticut,US Rep.,                5,                 56752,11: November,General,DEMOCRAT,"BOGDANSKI, JOSEPH W",1950.0
15,               2,Connecticut,US Rep.,                5,                 65915,11: November,General,MODERN REPUBLICAN,"PATTERSON, JAMES T",1950.0
16,               3,Connecticut,US Rep.,                5,                  1311,11: November,General,SOCIALIST,"RING,",1950.0
17,               4,Connecticut,US Rep.,                5,                   328,11: November,General,PEOPLE'S,"STANESLOW,",1950.0
18,               1,Connecticut,US Rep.,               98,                426485,11: November,General,DEMOCRAT,"BOGDANSKI,",1950.0
19,               2,Connecticut,US Rep.,               98,                433912,11: November,General,MODERN REPUBLICAN,"SADLAK, ANTONI N",1950.0
20,               3,Connecticut,US Rep.,               98,                 15638,11: November,General,SOCIALIST,"MAYHEW,",1950.0
21,               4,Connecticut,US Rep.,               98,                  2353,11: November,General,PEOPLE'S,"ROBESON,",1950.0
22,               1,Connecticut,"US Senator, 3",                0,                453646,11: November,General,DEMOCRAT,"MCMAHON, BRIEN,",1950.0
23,               2,Connecticut,"US Senator, 3",                0,                409053,11: November,General,MODERN REPUBLICAN,"TALBOT, JOSEPH E",1950.0
24,               3,Connecticut,"US Senator, 3",                0,                 15128,11: November,General,SOCIALIST,"MARTINO,",1950.0
25,               1,Connecticut,President,                0,                481649,11: November,General,DEMOCRAT,"STEVENSON, ADLAI E",1952.0
26,               2,Connecticut,President,                0,                611012,11: November,General,MODERN REPUBLICAN,"EISENHOWER, DWIGHT D",1952.0
27,               3,Connecticut,President,                0,                  2244,11: November,General,SOCIALIST,"HOOPES, DARLINGTON",1952.0
28,               4,Connecticut,President,                0,                  1466,11: November,General,PEOPLE'S,"HALLINAN, VINCENT",1952.0
29,               5,Connecticut,President,                0,                   535,11: November,General,SOCIALIST LABOR,"HASS, ERIC",1952.0
30,               1,Connecticut,US Rep.,                1,                136540,11: November,General,MODERN REPUBLICAN,"ASHMEAD, JOHN",1952.0
31,               2,Connecticut,US Rep.,                1,                160080,11: November,General,DEMOCRAT,"DODD, THOMAS J",1952.0
32,               1,Connecticut,US Rep.,                2,                 90827,11: November,General,MODERN REPUBLICAN,"SEELYBROWN, HORACE JR",1952.0
33,               2,Connecticut,US Rep.,                2,                 72868,11: November,General,DEMOCRAT,"CITRON, WILLIAM M",1952.0
34,               1,Connecticut,US Rep.,                3,                111018,11: November,General,MODERN REPUBLICAN,"CRETELLA, ALBERT W",1952.0
35,               2,Connecticut,US Rep.,                3,                 99408,11: November,General,DEMOCRAT,"MCGUIRE, JOHN A",1952.0
36,               1,Connecticut,US Rep.,                4,                164689,11: November,General,MODERN REPUBLICAN,"MORANO, ALBERT P",1952.0
37,               2,Connecticut,US Rep.,                4,                107881,11: November,General,DEMOCRAT,"LYFORD, JOSEPH P",1952.0
38,               3,Connecticut,US Rep.,                4,                  1618,11: November,General,SOCIALIST,"MAYHEW, STANLEY",1952.0
39,               1,Connecticut,US Rep.,                5,                 83848,11: November,General,MODERN REPUBLICAN,"PATTERSON, JAMES T",1952.0
40,               2,Connecticut,US Rep.,                5,                 64020,11: November,General,DEMOCRAT,"SPEZIALE, JOHN A",1952.0
41,               1,Connecticut,US Rep.,               98,                601238,11: November,General,MODERN REPUBLICAN,"SADLAK, ANTONI N",1952.0
42,               2,Connecticut,US Rep.,               98,                489645,11: November,General,DEMOCRAT,"PRIBYSON, STANLEY J",1952.0
43,               3,Connecticut,US Rep.,               98,                  3065,11: November,General,SOCIALIST,"WATERMAN, ANNIE B",1952.0
44,               1,Connecticut,"US Senator, 1",                0,                573854,11: November,General,MODERN REPUBLICAN,"PURTELL, WILLIAM A",1952.0
45,               2,Connecticut,"US Senator, 1",                0,                485066,11: November,General,DEMOCRAT,"BENTON, WILLIAM",1952.0
46,               3,Connecticut,"US Senator, 1",                0,                 12279,11: November,General,SOCIALIST,"MCLEVY, JASPER",1952.0
47,               4,Connecticut,"US Senator, 1",                0,                 22268,11: November,General,INDEPENDENT REPUBLICAN,"KELLEMS, VIVIEN",1952.0
48,               1,Connecticut,Governor,                0,                463643,11: November,General,DEMOCRAT,"RIBICOFF, ABRAHAM A",1954.0
49,               2,Connecticut,Governor,                0,                460528,11: November,General,MODERN REPUBLICAN,"LODGE, JOHN D",1954.0
50,               3,Connecticut,Governor,                0,                 11159,11: November,General,SOCIALIST,"MCLEVY,",1954.0
51,               4,Connecticut,Governor,                0,                  1423,11: November,General,INDEPENDENT REPUBLICAN,"KELLEMS,",1954.0
52,               1,Connecticut,US Rep.,                1,                112526,11: November,General,MODERN REPUBLICAN,"BARNES, WALLACE",1954.0
53,               2,Connecticut,US Rep.,                1,                148935,11: November,General,DEMOCRAT,"DODD, THOMAS J",1954.0
54,               1,Connecticut,US Rep.,                2,                 72833,11: November,General,MODERN REPUBLICAN,"SEELYBROWN, HORACE JR",1954.0
55,               2,Connecticut,US Rep.,                2,                 70853,11: November,General,DEMOCRAT,"PIERCE, HENRY H JR",1954.0
56,               1,Connecticut,US Rep.,                3,                 94977,11: November,General,MODERN REPUBLICAN,"CRETELLA, ALBERT W",1954.0
57,               2,Connecticut,US Rep.,                3,                 85369,11: November,General,DEMOCRAT,"GARTLAND, JAMES F",1954.0
58,               1,Connecticut,US Rep.,                4,                123890,11: November,General,MODERN REPUBLICAN,"MORANO, ALBERT P",1954.0
59,               2,Connecticut,US Rep.,                4,                 91184,11: November,General,DEMOCRAT,"FAY, EDWARD R JR",1954.0
60,               3,Connecticut,US Rep.,                4,                  5413,11: November,General,SOCIALIST,"MAYHEW, STANLEY W",1954.0
61,               1,Connecticut,US Rep.,                5,                 68451,11: November,General,MODERN REPUBLICAN,"PATTERSON, JAMES T",1954.0
62,               2,Connecticut,US Rep.,                5,                 61313,11: November,General,DEMOCRAT,"BRADY, DAVID",1954.0
63,               1,Connecticut,US Rep.,               98,                474585,11: November,General,MODERN REPUBLICAN,"SADLAK, ANTONI N",1954.0
64,               2,Connecticut,US Rep.,               98,                455887,11: November,General,DEMOCRAT,"LYFORD, JOSEPH P",1954.0
65,               1,Connecticut,President,                0,                405079,11: November,General,DEMOCRAT,"STEVENSON, ADLAI E",1956.0
66,               2,Connecticut,President,                0,                711837,11: November,General,MODERN REPUBLICAN,"EISENHOWER, DWIGHT D",1956.0
67,               1,Connecticut,US Rep.,                1,                139147,11: November,General,DEMOCRAT,"WARD, PATRICK J",1956.0
68,               2,Connecticut,US Rep.,                1,                161360,11: November,General,MODERN REPUBLICAN,"MAY, EDWIN H JR",1956.0
69,               3,Connecticut,US Rep.,                1,                  1292,11: November,General,INDEPENDENT REPUBLICAN,"LACROIX, DONALD B",1956.0
70,               1,Connecticut,US Rep.,                2,                 68847,11: November,General,DEMOCRAT,"BENNET, DOUGLAS J",1956.0
71,               2,Connecticut,US Rep.,                2,                 99274,11: November,General,MODERN REPUBLICAN,"SEELYBROWN, HORACE JR",1956.0
72,               1,Connecticut,US Rep.,                3,                 84568,11: November,General,DEMOCRAT,"GIAIMO, ROBERT N",1956.0
73,               2,Connecticut,US Rep.,                3,                126850,11: November,General,MODERN REPUBLICAN,"CRETELLA, ALBERT W",1956.0
74,               1,Connecticut,US Rep.,                4,                 88487,11: November,General,DEMOCRAT,"STOCK, JACK",1956.0
75,               2,Connecticut,US Rep.,                4,                194333,11: November,General,MODERN REPUBLICAN,"MORANO, ALBERT P",1956.0
76,               3,Connecticut,US Rep.,                4,                  1454,11: November,General,SOCIALIST,"SAUNDERS, HAROLD",1956.0
77,               1,Connecticut,US Rep.,                5,                 56375,11: November,General,DEMOCRAT,"MARTIN, LUKE F",1956.0
78,               2,Connecticut,US Rep.,                5,                 91690,11: November,General,MODERN REPUBLICAN,"PATTERSON, JAMES T",1956.0
79,               1,Connecticut,US Rep.,               98,                428709,11: November,General,DEMOCRAT,"KUTA, MATTHEW P",1956.0
80,               2,Connecticut,US Rep.,               98,                683387,11: November,General,MODERN REPUBLICAN,"SADLAK, ANTONI N",1956.0
81,               1,Connecticut,"US Senator, 3",                0,                479460,11: November,General,DEMOCRAT,"DODD, THOMAS J",1956.0
82,               2,Connecticut,"US Senator, 3",                0,                610829,11: November,General,MODERN REPUBLICAN,"BUSH, PRESCOTT S",1956.0
83,               3,Connecticut,"US Senator, 3",                0,                  7079,11: November,General,SOCIALIST,"MCLEVY, JASPER",1956.0
84,               4,Connecticut,"US Senator, 3",                0,                 10199,11: November,General,INDEPENDENT REPUBLICAN,"STEVENSON, SUZANNE S",1956.0
85,               5,Connecticut,"US Senator, 3",                0,                  6219,11: November,General,INDEPENDENT,"KELLEMS, VIVIEN",1956.0
86,               1,Connecticut,Governor,                0,                607012,11: November,General,DEMOCRAT,"RIBICOFF, ABRAHAM A",1958.0
87,               2,Connecticut,Governor,                0,                360644,11: November,General,MODERN REPUBLICAN,"ZELLER, FRED R",1958.0
88,               3,Connecticut,Governor,                0,                  6853,11: November,General,SOCIALIST,"MCLEVY,",1958.0
89,               1,Connecticut,US Rep.,                1,                146115,11: November,General,DEMOCRAT,"DADDARIO, EMILIO Q",1958.0
90,               2,Connecticut,US Rep.,                1,                122770,11: November,General,MODERN REPUBLICAN,"MAY, EDWIN H JR",1958.0
91,               1,Connecticut,US Rep.,                2,                 79672,11: November,General,DEMOCRAT,"BOWLES, CHESTER",1958.0
92,               2,Connecticut,US Rep.,                2,                 69837,11: November,General,MODERN REPUBLICAN,"SEELYBROWN, HORACE JR",1958.0
93,               1,Connecticut,US Rep.,                3,                101028,11: November,General,DEMOCRAT,"GIAIMO, ROBERT N",1958.0
94,               2,Connecticut,US Rep.,                3,                 78665,11: November,General,MODERN REPUBLICAN,"CRETELLA, ALBERT W",1958.0
95,               1,Connecticut,US Rep.,                4,                119766,11: November,General,DEMOCRAT,"IRWIN, DONALD J",1958.0
96,               2,Connecticut,US Rep.,                4,                115505,11: November,General,MODERN REPUBLICAN,"MORANO, ALBERT P",1958.0
97,               1,Connecticut,US Rep.,                5,                 72604,11: November,General,DEMOCRAT,"MONAGAN, JOHN S",1958.0
98,               2,Connecticut,US Rep.,                5,                 62353,11: November,General,MODERN REPUBLICAN,"PATTERSON, JAMES T",1958.0
99,               1,Connecticut,US Rep.,               98,                542315,11: November,General,DEMOCRAT,"KOWALSKI, FRANK",1958.0
100,               2,Connecticut,US Rep.,               98,                425452,11: November,General,MODERN REPUBLICAN,"SADLAK, ANTONI N",1958.0
101,               1,Connecticut,"US Senator, 1",                0,                554841,11: November,General,DEMOCRAT,"DODD, THOMAS J",1958.0
102,               2,Connecticut,"US Senator, 1",                0,                410622,11: November,General,MODERN REPUBLICAN,"PURTELL, WILLIAM A",1958.0
103,               1,Connecticut,President,                0,                657055,11: November,General,DEMOCRAT,"KENNEDY, JOHN F",1960.0
104,               2,Connecticut,President,                0,                565813,11: November,General,MODERN REPUBLICAN,"NIXON, RICHARD M",1960.0
105,               1,Connecticut,US Rep.,                1,                193330,11: November,General,DEMOCRAT,"DADDARIO, EMILIO Q",1960.0
106,               2,Connecticut,US Rep.,                1,                137386,11: November,General,MODERN REPUBLICAN,"BRENNAN, THOMAS F",1960.0
107,               1,Connecticut,US Rep.,                2,                 93515,11: November,General,DEMOCRAT,"STONGE, WILLIAM L",1960.0
108,               2,Connecticut,US Rep.,                2,                 93971,11: November,General,MODERN REPUBLICAN,"SEELYBROWN, HORACE JR",1960.0
109,               1,Connecticut,US Rep.,                3,                124547,11: November,General,DEMOCRAT,"GIAIMO, ROBERT N",1960.0
110,               2,Connecticut,US Rep.,                3,                102271,11: November,General,MODERN REPUBLICAN,"CRETELLA, ALBERT W",1960.0
111,               1,Connecticut,US Rep.,                4,                150205,11: November,General,DEMOCRAT,"IRWIN, DONALD J",1960.0
112,               2,Connecticut,US Rep.,                4,                160654,11: November,General,MODERN REPUBLICAN,"SIBAL, ABNER W",1960.0
113,               3,Connecticut,US Rep.,                4,                  2350,11: November,General,SOCIALIST,"MCLEVY, JASPER",1960.0
114,               1,Connecticut,US Rep.,                5,                 88310,11: November,General,DEMOCRAT,"MONAGAN, JOHN S",1960.0
115,               2,Connecticut,US Rep.,                5,                 71964,11: November,General,MODERN REPUBLICAN,"PATTERSON, JAMES T",1960.0
116,               1,Connecticut,US Rep.,               98,                657680,11: November,General,DEMOCRAT,"KOWALSKI, FRANK",1960.0
117,               2,Connecticut,US Rep.,               98,                560803,11: November,General,MODERN REPUBLICAN,"SADLAK, ANTONI N",1960.0
118,               1,Connecticut,Governor,                0,                549027,11: November,General,DEMOCRAT,"DEMPSEY, JOHN N",1962.0
119,               2,Connecticut,Governor,                0,                482852,11: November,General,MODERN REPUBLICAN,"ALSOP, JOHN",1962.0
120,               3,Connecticut,Governor,                0,                    23,11: November,General,                                                   .,,1962.0
121,               1,Connecticut,US Rep.,                1,                162844,11: November,General,DEMOCRAT,"DADDARIO, EMILIO Q",1962.0
122,               2,Connecticut,US Rep.,                1,                118767,11: November,General,MODERN REPUBLICAN,"COLLINS, JAMES F",1962.0
123,               3,Connecticut,US Rep.,                1,                  1674,11: November,General,INDEPENDENT CONSERVATIVE REPUBLICAN,"LACROIX, DONALD B",1962.0
124,               4,Connecticut,US Rep.,                1,                     1,11: November,General,                                                   .,,1962.0
125,               1,Connecticut,US Rep.,                2,                 83652,11: November,General,DEMOCRAT,"STONGE, WILLIAM L",1962.0
126,               2,Connecticut,US Rep.,                2,                 81010,11: November,General,MODERN REPUBLICAN,"SAVIN, MOSES A",1962.0
127,               3,Connecticut,US Rep.,                2,                     1,11: November,General,                                                   .,,1962.0
128,               1,Connecticut,US Rep.,                3,                104728,11: November,General,DEMOCRAT,"GIAIMO, ROBERT",1962.0
129,               2,Connecticut,US Rep.,                3,                 82215,11: November,General,MODERN REPUBLICAN,"REINHARDSEN, DANIEL JR",1962.0
130,               1,Connecticut,US Rep.,                4,                122362,11: November,General,DEMOCRAT,"LENNON, FRANCIS X JR",1962.0
131,               2,Connecticut,US Rep.,                4,                132595,11: November,General,MODERN REPUBLICAN,"SIBAL, ABNER W",1962.0
132,               1,Connecticut,US Rep.,                5,                 83321,11: November,General,DEMOCRAT,"MONAGAN, JOHN S",1962.0
133,               2,Connecticut,US Rep.,                5,                 59072,11: November,General,MODERN REPUBLICAN,"RAND, JOHN A",1962.0
134,               3,Connecticut,US Rep.,                5,                     1,11: November,General,                                                   .,,1962.0
135,               1,Connecticut,US Rep.,               98,                543424,11: November,General,DEMOCRAT,"GRABOWSKI, BERNARD F",1962.0
136,               2,Connecticut,US Rep.,               98,                487575,11: November,General,MODERN REPUBLICAN,"LUPTON, JOHN M",1962.0
137,               1,Connecticut,"US Senator, 3",                0,                527522,11: November,General,DEMOCRAT,"RIBICOFF, ABRAHAM A",1962.0
138,               2,Connecticut,"US Senator, 3",                0,                501694,11: November,General,MODERN REPUBLICAN,"SEELYBROWN, HORACE JR",1962.0
139,               1,Connecticut,President,                0,                826269,11: November,General,DEMOCRAT,"JOHNSON, LYNDON B",1964.0
140,               2,Connecticut,President,                0,                390996,11: November,General,MODERN REPUBLICAN,"GOLDWATER, BARRY M",1964.0
141,               3,Connecticut,President,                0,                  1313,11: November,General,                                                   .,,1964.0
142,               1,Connecticut,US Rep.,                1,                141310,11: November,General,DEMOCRAT,"DADDARIO, EMILIO Q",1964.0
143,               2,Connecticut,US Rep.,                1,                 60654,11: November,General,MODERN REPUBLICAN,"COLLINS, JAMES F",1964.0
144,               3,Connecticut,US Rep.,                1,                     5,11: November,General,                                                   .,,1964.0
145,               1,Connecticut,US Rep.,                2,                119530,11: November,General,DEMOCRAT,"SAINTONGE, WILLIAM L",1964.0
146,               2,Connecticut,US Rep.,                2,                 69403,11: November,General,MODERN REPUBLICAN,"COPP, BELTON A",1964.0
147,               3,Connecticut,US Rep.,                2,                    57,11: November,General,                                                   .,,1964.0
148,               1,Connecticut,US Rep.,                3,                126353,11: November,General,DEMOCRAT,"GIAIMO, ROBERT N",1964.0
149,               2,Connecticut,US Rep.,                3,                 71393,11: November,General,MODERN REPUBLICAN,"BURNS, BERNARD J",1964.0
150,               3,Connecticut,US Rep.,                3,                     3,11: November,General,                                                   .,,1964.0
151,               1,Connecticut,US Rep.,                4,                117220,11: November,General,DEMOCRAT,"IRWIN, DONALD J",1964.0
152,               2,Connecticut,US Rep.,                4,                109027,11: November,General,MODERN REPUBLICAN,"SIBAL, ABNER W",1964.0
153,               3,Connecticut,US Rep.,                4,                    17,11: November,General,                                                   .,,1964.0
154,               1,Connecticut,US Rep.,                5,                133072,11: November,General,DEMOCRAT,"MONAGAN, JOHN S",1964.0
155,               2,Connecticut,US Rep.,                5,                 64651,11: November,General,MODERN REPUBLICAN,"TERRELL, CHARLES W JR",1964.0
156,               3,Connecticut,US Rep.,                5,                     1,11: November,General,                                                   .,,1964.0
157,               1,Connecticut,US Rep.,                6,                115498,11: November,General,DEMOCRAT,"GRABOWSKI, BERNARD F",1964.0
158,               2,Connecticut,US Rep.,                6,                 81105,11: November,General,MODERN REPUBLICAN,"MESKILL, THOMAS J JR",1964.0
159,               3,Connecticut,US Rep.,                6,                    80,11: November,General,                                                   .,,1964.0
160,               1,Connecticut,"US Senator, 1",                0,                781008,11: November,General,DEMOCRAT,"DODD, THOMAS J",1964.0
161,               2,Connecticut,"US Senator, 1",                0,                426939,11: November,General,MODERN REPUBLICAN,"LODGE, JOHN",1964.0
162,               3,Connecticut,"US Senator, 1",                0,                   216,11: November,General,                                                   .,,1964.0
163,               1,Connecticut,Governor,                0,                561599,11: November,General,DEMOCRAT,"DEMPSEY, JOHN N",1966.0
164,               2,Connecticut,Governor,                0,                446536,11: November,General,MODERN REPUBLICAN,"GENGRAS, E CLAYTON",1966.0
165,               3,Connecticut,Governor,                0,                   422,11: November,General,                                                   .,,1966.0
166,               1,Connecticut,US Rep.,                1,                100447,11: November,General,DEMOCRAT,"DADDARIO, EMILIO Q",1966.0
167,               2,Connecticut,US Rep.,                1,                 71353,11: November,General,MODERN REPUBLICAN,"BONEE, JOHN L",1966.0
168,               3,Connecticut,US Rep.,                1,                  1299,11: November,General,"PEOPLE'S CHOICE, THE","LACROIX, DONALD B",1966.0
169,               4,Connecticut,US Rep.,                1,                   124,11: November,General,                                                   .,,1966.0
170,               1,Connecticut,US Rep.,                2,                 90298,11: November,General,DEMOCRAT,"STONGE, WILLIAM L",1966.0
171,               2,Connecticut,US Rep.,                2,                 69402,11: November,General,MODERN REPUBLICAN,"GOLDBERG, JOSEPH H",1966.0
172,               3,Connecticut,US Rep.,                2,                   939,11: November,General,VETERANS,"TARASEVICH, DANIEL R",1966.0
173,               4,Connecticut,US Rep.,                2,                   181,11: November,General,                                                   .,,1966.0
174,               1,Connecticut,US Rep.,                3,                 86029,11: November,General,DEMOCRAT,"GIAIMO, ROBERT",1966.0
175,               2,Connecticut,US Rep.,                3,                 67226,11: November,General,MODERN REPUBLICAN,"SALMONA, STELIO",1966.0
176,               3,Connecticut,US Rep.,                3,                  8730,11: November,General,AMERICAN INDEPENDENT,"COOK, ROBERT M",1966.0
177,               4,Connecticut,US Rep.,                3,                    10,11: November,General,                                                   .,,1966.0
178,               1,Connecticut,US Rep.,                4,                 89709,11: November,General,DEMOCRAT,"IRWIN, DONALD J",1966.0
179,               2,Connecticut,US Rep.,                4,                 86337,11: November,General,MODERN REPUBLICAN,"SIBAL, ABNER W",1966.0
180,               3,Connecticut,US Rep.,                4,                   105,11: November,General,                                                   .,,1966.0
181,               1,Connecticut,US Rep.,                5,                 96801,11: November,General,DEMOCRAT,"MONAGAN, JOHN S",1966.0
182,               2,Connecticut,US Rep.,                5,                 67094,11: November,General,MODERN REPUBLICAN,"PETRONI, ROMEO G",1966.0
183,               3,Connecticut,US Rep.,                5,                    24,11: November,General,                                                   .,,1966.0
184,               1,Connecticut,US Rep.,                6,                 79865,11: November,General,DEMOCRAT,"GRABOWSKI, BERNARD F",1966.0
185,               2,Connecticut,US Rep.,                6,                 81907,11: November,General,MODERN REPUBLICAN,"MESKILL, THOMAS J JR",1966.0
186,               3,Connecticut,US Rep.,                6,                  5731,11: November,General,AMERICAN INDEPENDENT,"MINOT, STEPHAN",1966.0
187,               4,Connecticut,US Rep.,                6,                     6,11: November,General,                                                   .,,1966.0
188,               1,Connecticut,President,                0,                621561,11: November,General,DEMOCRAT,"HUMPHREY, HUBERT H",1968.0
189,               2,Connecticut,President,                0,                556721,11: November,General,MODERN REPUBLICAN,"NIXON, RICHARD M",1968.0
190,               3,Connecticut,President,                0,                 76650,11: November,General,GEORGE WALLACE PARTY,"WALLACE, GEORGE C",1968.0
191,               4,Connecticut,President,                0,                  1300,11: November,General,                                                   .,,1968.0
192,               1,Connecticut,US Rep.,                1,                124966,11: November,General,DEMOCRAT,"DADDARIO, EMILIO Q",1968.0
193,               2,Connecticut,US Rep.,                1,                 74615,11: November,General,MODERN REPUBLICAN,"LADD, ROGER B",1968.0
194,               3,Connecticut,US Rep.,                1,                   572,11: November,General,PRIMARY PARTY,"LACROIX, DONALD B",1968.0
195,               4,Connecticut,US Rep.,                1,                     3,11: November,General,                                                   .,,1968.0
196,               1,Connecticut,US Rep.,                2,                106203,11: November,General,DEMOCRAT,"SAINTONGE, WILLIAM L",1968.0
197,               2,Connecticut,US Rep.,                2,                 89098,11: November,General,MODERN REPUBLICAN,"MARIANI, PETER P",1968.0
198,               3,Connecticut,US Rep.,                2,                  1177,11: November,General,INDEPENDENT,"TARASEVICH, DANIEL R",1968.0
199,               4,Connecticut,US Rep.,                2,                     8,11: November,General,                                                   .,,1968.0
200,               1,Connecticut,US Rep.,                3,                102636,11: November,General,DEMOCRAT,"GIAIMO, ROBERT",1968.0
201,               2,Connecticut,US Rep.,                3,                 80696,11: November,General,MODERN REPUBLICAN,"SALMONA, STELIO",1968.0
202,               3,Connecticut,US Rep.,                3,                  6740,11: November,General,AMERICAN INDEPENDENT,"COOK, ROBERT M",1968.0
203,               4,Connecticut,US Rep.,                3,                     8,11: November,General,                                                   .,,1968.0
204,               1,Connecticut,US Rep.,                4,                104723,11: November,General,DEMOCRAT,"IRWIN, DONALD J",1968.0
205,               2,Connecticut,US Rep.,                4,                113749,11: November,General,MODERN REPUBLICAN,"WEICKER, LOWELL P JR",1968.0
206,               3,Connecticut,US Rep.,                4,                  2798,11: November,General,DEESCALATORS,"EARLE, MORRIS",1968.0
207,               4,Connecticut,US Rep.,                4,                     7,11: November,General,                                                   .,,1968.0
208,               1,Connecticut,US Rep.,                5,                110337,11: November,General,DEMOCRAT,"MONAGAN, JOHN S",1968.0
209,               2,Connecticut,US Rep.,                5,                 85591,11: November,General,MODERN REPUBLICAN,"RUSSO, GAETANO A JR",1968.0
210,               3,Connecticut,US Rep.,                5,                     3,11: November,General,                                                   .,,1968.0
211,               1,Connecticut,US Rep.,                6,                 76413,11: November,General,DEMOCRAT,"SHARAF, ROBERT M",1968.0
212,               2,Connecticut,US Rep.,                6,                126208,11: November,General,MODERN REPUBLICAN,"MESKILL, THOMAS J",1968.0
213,               3,Connecticut,US Rep.,                6,                     7,11: November,General,                                                   .,,1968.0
214,               1,Connecticut,"US Senator, 3",                0,                655043,11: November,General,DEMOCRAT,"RIBICOFF, ABRAHAM A",1968.0
215,               2,Connecticut,"US Senator, 3",                0,                551455,11: November,General,MODERN REPUBLICAN,"MAY, EDWIN H",1968.0
216,               3,Connecticut,"US Senator, 3",                0,                    39,11: November,General,                                                   .,,1968.0
217,               1,Connecticut,Governor,                0,                500561,11: November,General,DEMOCRAT,"DADDARIO, EMILIO Q",1970.0
218,               2,Connecticut,Governor,                0,                582160,11: November,General,MODERN REPUBLICAN,"MESKILL, THOMAS J",1970.0
219,               3,Connecticut,Governor,                0,                    76,11: November,General,                                                   .,,1970.0
220,               1,Connecticut,US Rep.,                1,                 88374,11: November,General,DEMOCRAT,"COTTER, WILLIAM R",1970.0
221,               2,Connecticut,US Rep.,                1,                 87209,11: November,General,MODERN REPUBLICAN,"UCCELLO, ANTONINA P",1970.0
222,               3,Connecticut,US Rep.,                1,                  5774,11: November,General,A PUBLIC PARTY,"COLL, EDWARD T",1970.0
223,               1,Connecticut,US Rep.,                2,                 81492,11: November,General,DEMOCRAT,"PICKETT, JOHN F",1970.0
224,               2,Connecticut,US Rep.,                2,                 92846,11: November,General,MODERN REPUBLICAN,"STEELE, ROBERT H",1970.0
225,               1,Connecticut,US Rep.,                3,                 89042,11: November,General,DEMOCRAT,"GIAIMO, ROBERT",1970.0
226,               2,Connecticut,US Rep.,                3,                 69084,11: November,General,MODERN REPUBLICAN,"DUNN, ROBERT J",1970.0
227,               3,Connecticut,US Rep.,                3,                  5062,11: November,General,DODD INDEPENDENT,"ANTONETTI, RICHARD P",1970.0
228,               1,Connecticut,US Rep.,                4,                 78699,11: November,General,DEMOCRAT,"DALY, GILROY T F",1970.0
229,               2,Connecticut,US Rep.,                4,                104494,11: November,General,MODERN REPUBLICAN,"MCKINNEY, STEWART B",1970.0
230,               3,Connecticut,US Rep.,                4,                  1428,11: November,General,AMERICAN,"EMARD, EILEEN M",1970.0
231,               1,Connecticut,US Rep.,                5,                 96947,11: November,General,DEMOCRAT,"MONAGAN, JOHN S",1970.0
232,               2,Connecticut,US Rep.,                5,                 78414,11: November,General,MODERN REPUBLICAN,"PATTERSON, JAMES T",1970.0
233,               3,Connecticut,US Rep.,                5,                  1727,11: November,General,COMMON PEOPLE'S,"AVITABILE, ALPHONSE",1970.0
234,               1,Connecticut,US Rep.,                6,                 96969,11: November,General,DEMOCRAT,"GRASSO, ELLA T",1970.0
235,               2,Connecticut,US Rep.,                6,                 92906,11: November,General,MODERN REPUBLICAN,"KILBOURNE, RICHARD C",1970.0
236,               1,Connecticut,"US Senator, 1",                0,                368111,11: November,General,DEMOCRAT,"DUFFEY, JOSEPH D",1970.0
237,               2,Connecticut,"US Senator, 1",                0,                454721,11: November,General,MODERN REPUBLICAN,"WEICKER, LOWELL P (JR)",1970.0
238,               3,Connecticut,"US Senator, 1",                0,                266497,11: November,General,DODD INDEPENDENT,"DODD, THOMAS J",1970.0
239,               1,Connecticut,State Offices,                2,                529898,11: November,General,DEMOCRAT,"KILLIAN, ROBERT K",1970.0
